ERR793600.742976	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0006 peptidase M24;
ERR793600.825695	eggNOG;informationStorageAndProcessing;[J] Translation, ribosomal structure and biogenesis;COG0072 phenylalanyl-tRNA synthetase (beta subunit);
ERR793600.274836	eggNOG;informationStorageAndProcessing;[J] Translation, ribosomal structure and biogenesis;COG0073 Is required not only for elongation of protein synthesis but also for the initiation of all mRNA translation through initiator tRNA(fMet) aminoacylation (By similarity);
ERR793600.274836	eggNOG;informationStorageAndProcessing;[J] Translation, ribosomal structure and biogenesis;COG0073 Is required not only for elongation of protein synthesis but also for the initiation of all mRNA translation through initiator tRNA(fMet) aminoacylation (By similarity);
ERR793600.1177972	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0076 decarboxylase;
ERR793600.583909	eggNOG;informationStorageAndProcessing;[J] Translation, ribosomal structure and biogenesis;COG0080 This protein binds directly to 23S ribosomal RNA (By similarity);
ERR793600.757223	eggNOG;informationStorageAndProcessing;[J] Translation, ribosomal structure and biogenesis;COG0087 One of the primary rRNA binding proteins, it binds directly near the 3'-end of the 23S rRNA, where it nucleates assembly of the 50S subunit (By similarity);
ERR793600.757223	eggNOG;informationStorageAndProcessing;[J] Translation, ribosomal structure and biogenesis;COG0088 One of the primary rRNA binding proteins, this protein initially binds near the 5'-end of the 23S rRNA. It is important during the early stages of 50S assembly. It makes multiple contacts with different domains of the 23S rRNA in the assembled 50S subunit and ribosome (By similarity);
ERR793600.196634	eggNOG;informationStorageAndProcessing;[J] Translation, ribosomal structure and biogenesis;COG0090 One of the primary rRNA binding proteins. Required for association of the 30S and 50S subunits to form the 70S ribosome, for tRNA binding and peptide bond formation. It has been suggested to have peptidyltransferase activity;
ERR793600.1454779	eggNOG;informationStorageAndProcessing;[J] Translation, ribosomal structure and biogenesis;COG0094 This is 1 of the proteins that binds and probably mediates the attachment of the 5S RNA into the large ribosomal subunit, where it forms part of the central protuberance. In the 70S ribosome it contacts protein S13 of the 30S subunit (bridge B1b), connecting the 2 subunits;
ERR793600.690338	eggNOG;informationStorageAndProcessing;[J] Translation, ribosomal structure and biogenesis;COG0096 One of the primary rRNA binding proteins, it binds directly to 16S rRNA central domain where it helps coordinate assembly of the platform of the 30S subunit (By similarity);
ERR793600.690338	eggNOG;informationStorageAndProcessing;[J] Translation, ribosomal structure and biogenesis;COG0096 One of the primary rRNA binding proteins, it binds directly to 16S rRNA central domain where it helps coordinate assembly of the platform of the 30S subunit (By similarity);
ERR793600.1421287	eggNOG;informationStorageAndProcessing;[J] Translation, ribosomal structure and biogenesis;COG0097 This protein binds to the 23S rRNA, and is important in its secondary structure. It is located near the subunit interface in the base of the L7 L12 stalk, and near the tRNA binding site of the peptidyltransferase center (By similarity);
ERR793600.1421287	eggNOG;informationStorageAndProcessing;[J] Translation, ribosomal structure and biogenesis;COG0097 This protein binds to the 23S rRNA, and is important in its secondary structure. It is located near the subunit interface in the base of the L7 L12 stalk, and near the tRNA binding site of the peptidyltransferase center (By similarity);
ERR793600.1194019	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0115 brancheD-chain amino acid aminotransferase;
ERR793600.516444	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0119 Catalyzes the condensation of the acetyl group of acetyl-CoA with 3-methyl-2-oxobutanoate (2-oxoisovalerate) to form 3-carboxy-3-hydroxy-4-methylpentanoate (2-isopropylmalate) (By similarity);
ERR793600.324039	eggNOG;informationStorageAndProcessing;[J] Translation, ribosomal structure and biogenesis;COG0124 Histidyl-trna synthetase;
ERR793600.162997	eggNOG;metabolism;[F] Nucleotide transport and metabolism;COG0127 Pyrophosphatase that hydrolyzes non-canonical purine nucleotides such as XTP and ITP dITP to their respective monophosphate derivatives. Might exclude non-canonical purines from DNA precursor pool, thus preventing their incorporation into DNA and avoiding chromosomal lesions (By similarity);
ERR793600.162997	eggNOG;metabolism;[F] Nucleotide transport and metabolism;COG0127 Pyrophosphatase that hydrolyzes non-canonical purine nucleotides such as XTP and ITP dITP to their respective monophosphate derivatives. Might exclude non-canonical purines from DNA precursor pool, thus preventing their incorporation into DNA and avoiding chromosomal lesions (By similarity);
ERR793600.953214	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0134 indole-3-glycerol phosphate synthase;
ERR793600.50125	eggNOG;metabolism;[H] Coenzyme transport and metabolism;COG0142 synthase;
ERR793600.1517969	eggNOG;informationStorageAndProcessing;[J] Translation, ribosomal structure and biogenesis;COG0144 nOP2 Sun;
ERR793600.1128793	eggNOG;metabolism;[G] Carbohydrate transport and metabolism;COG0149 triosephosphate isomerase;
ERR793600.1377282	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0160 transaminase activity;
ERR793600.1377426	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0160 transaminase activity;
ERR793600.393171	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0165 argininosuccinate lyase;
ERR793600.393171	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0165 argininosuccinate lyase;
ERR793600.1202351	eggNOG;metabolism;[F] Nucleotide transport and metabolism;COG0167 Catalyzes the conversion of dihydroorotate to orotate;
ERR793600.1463213	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0174 glutamine synthetase;
ERR793600.1356837	eggNOG;metabolism;[G] Carbohydrate transport and metabolism;COG0176 Transaldolase is important for the balance of metabolites in the pentose-phosphate pathway (By similarity);
ERR793600.1579794	eggNOG;metabolism;[G] Carbohydrate transport and metabolism;COG0176 Transaldolase is important for the balance of metabolites in the pentose-phosphate pathway (By similarity);
ERR793600.1356837	eggNOG;metabolism;[G] Carbohydrate transport and metabolism;COG0176 Transaldolase is important for the balance of metabolites in the pentose-phosphate pathway (By similarity);
ERR793600.1579794	eggNOG;metabolism;[G] Carbohydrate transport and metabolism;COG0176 Transaldolase is important for the balance of metabolites in the pentose-phosphate pathway (By similarity);
ERR793600.997585	eggNOG;informationStorageAndProcessing;[L] Replication, recombination and repair;COG0178 The UvrABC repair system catalyzes the recognition and processing of DNA lesions. UvrA is an ATPase and a DNA-binding protein. A damage recognition complex composed of 2 UvrA and 2 UvrB subunits scans DNA for abnormalities. When the presence of a lesion has been verified by UvrB, the UvrA molecules dissociate (By similarity);
ERR793600.997585	eggNOG;informationStorageAndProcessing;[L] Replication, recombination and repair;COG0178 The UvrABC repair system catalyzes the recognition and processing of DNA lesions. UvrA is an ATPase and a DNA-binding protein. A damage recognition complex composed of 2 UvrA and 2 UvrB subunits scans DNA for abnormalities. When the presence of a lesion has been verified by UvrB, the UvrA molecules dissociate (By similarity);
ERR793600.592082	eggNOG;metabolism;[Q] Secondary metabolites biosynthesis, transport and catabolism;COG0179 Fumarylacetoacetate hydrolase;
ERR793600.593690	eggNOG;metabolism;[Q] Secondary metabolites biosynthesis, transport and catabolism;COG0179 Fumarylacetoacetate hydrolase;
ERR793600.1376558	eggNOG;metabolism;[Q] Secondary metabolites biosynthesis, transport and catabolism;COG0179 Fumarylacetoacetate hydrolase;
ERR793600.592082	eggNOG;metabolism;[Q] Secondary metabolites biosynthesis, transport and catabolism;COG0179 Fumarylacetoacetate hydrolase;
ERR793600.1280235	eggNOG;metabolism;[I] Lipid transport and metabolism;COG0183 acetyl-coa acetyltransferase;
ERR793600.146707	eggNOG;informationStorageAndProcessing;[L] Replication, recombination and repair;COG0188 DNA gyrase negatively supercoils closed circular double- stranded DNA in an ATP-dependent manner and also catalyzes the interconversion of other topological isomers of double-stranded DNA rings, including catenanes and knotted rings (By similarity);
ERR793600.311587	eggNOG;informationStorageAndProcessing;[L] Replication, recombination and repair;COG0188 DNA gyrase negatively supercoils closed circular double- stranded DNA in an ATP-dependent manner and also catalyzes the interconversion of other topological isomers of double-stranded DNA rings, including catenanes and knotted rings (By similarity);
ERR793600.324164	eggNOG;informationStorageAndProcessing;[K] Transcription;COG0195 Transcription elongation factor NusA;
ERR793600.324485	eggNOG;informationStorageAndProcessing;[K] Transcription;COG0195 Transcription elongation factor NusA;
ERR793600.324164	eggNOG;informationStorageAndProcessing;[K] Transcription;COG0195 Transcription elongation factor NusA;
ERR793600.866066	eggNOG;informationStorageAndProcessing;[K] Transcription;COG0202 DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates (By similarity);
ERR793600.959352	eggNOG;informationStorageAndProcessing;[K] Transcription;COG0202 DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates (By similarity);
ERR793600.959352	eggNOG;informationStorageAndProcessing;[K] Transcription;COG0202 DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates (By similarity);
ERR793600.389907	eggNOG;metabolism;[I] Lipid transport and metabolism;COG0204 Acyltransferase;
ERR793600.389907	eggNOG;metabolism;[I] Lipid transport and metabolism;COG0204 Acyltransferase;
ERR793600.1431423	eggNOG;informationStorageAndProcessing;[L] Replication, recombination and repair;COG0210 helicase;
ERR793600.1500864	eggNOG;informationStorageAndProcessing;[J] Translation, ribosomal structure and biogenesis;COG0230 50s ribosomal protein l34;
ERR793600.1476605	eggNOG;informationStorageAndProcessing;[J] Translation, ribosomal structure and biogenesis;COG0233 Responsible for the release of ribosomes from messenger RNA at the termination of protein biosynthesis. May increase the efficiency of translation by recycling ribosomes from one round of translation to another (By similarity);
ERR793600.1128133	eggNOG;metabolism;[G] Carbohydrate transport and metabolism;COG0235 Class II aldolase adducin;
ERR793600.1541759	eggNOG;metabolism;[G] Carbohydrate transport and metabolism;COG0235 Class II aldolase adducin;
ERR793600.1128133	eggNOG;metabolism;[G] Carbohydrate transport and metabolism;COG0235 Class II aldolase adducin;
ERR793600.1541759	eggNOG;metabolism;[G] Carbohydrate transport and metabolism;COG0235 Class II aldolase adducin;
ERR793600.576688	eggNOG;metabolism;[I] Lipid transport and metabolism;COG0236 Carrier of the growing fatty acid chain in fatty acid biosynthesis (By similarity);
ERR793600.583909	eggNOG;informationStorageAndProcessing;[K] Transcription;COG0250 Participates in transcription elongation, termination and antitermination (By similarity);
ERR793600.150471	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0260 Presumably involved in the processing and regular turnover of intracellular proteins. Catalyzes the removal of unsubstituted N-terminal amino acids from various peptides (By similarity);
ERR793600.81092	eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG0265 Serine protease;
ERR793600.1372186	eggNOG;informationStorageAndProcessing;[J] Translation, ribosomal structure and biogenesis;COG0268 Binds directly to 16S ribosomal RNA (By similarity);
ERR793600.1579730	eggNOG;informationStorageAndProcessing;[L] Replication, recombination and repair;COG0270 Cytosine-specific methyltransferase;
ERR793600.533628	eggNOG;informationStorageAndProcessing;[L] Replication, recombination and repair;COG0272 DNA ligase (NAD+) activity;
ERR793600.533628	eggNOG;informationStorageAndProcessing;[L] Replication, recombination and repair;COG0272 DNA ligase (NAD+) activity;
ERR793600.742225	eggNOG;metabolism;[C] Energy production and conversion;COG0277 FAD linked oxidase domain protein;
ERR793600.1581591	eggNOG;metabolism;[C] Energy production and conversion;COG0281 malic enzyme;
ERR793600.950240	eggNOG;metabolism;[I] Lipid transport and metabolism;COG0304 Catalyzes the condensation reaction of fatty acid synthesis by the addition to an acyl acceptor of two carbons from malonyl-ACP (By similarity);
ERR793600.958050	eggNOG;metabolism;[I] Lipid transport and metabolism;COG0304 Catalyzes the condensation reaction of fatty acid synthesis by the addition to an acyl acceptor of two carbons from malonyl-ACP (By similarity);
ERR793600.950240	eggNOG;metabolism;[I] Lipid transport and metabolism;COG0304 Catalyzes the condensation reaction of fatty acid synthesis by the addition to an acyl acceptor of two carbons from malonyl-ACP (By similarity);
ERR793600.711780	eggNOG;informationStorageAndProcessing;[L] Replication, recombination and repair;COG0305 Replicative dna helicase;
ERR793600.1231149	eggNOG;informationStorageAndProcessing;[L] Replication, recombination and repair;COG0305 Replicative dna helicase;
ERR793600.711780	eggNOG;informationStorageAndProcessing;[L] Replication, recombination and repair;COG0305 Replicative dna helicase;
ERR793600.1532459	eggNOG;metabolism;[P] Inorganic ion transport and metabolism;COG0306 inorganic phosphate transmembrane transporter activity;
ERR793600.925976	eggNOG;metabolism;[H] Coenzyme transport and metabolism;COG0307 riboflavin synthase, subunit alpha;
ERR793600.977915	eggNOG;informationStorageAndProcessing;[K] Transcription;COG0317 In eubacteria ppGpp (guanosine 3'-diphosphate 5-' diphosphate) is a mediator of the stringent response that coordinates a variety of cellular activities in response to changes in nutritional abundance (By similarity);
ERR793600.977915	eggNOG;cellularProcessesAndSignaling;[T] Signal transduction mechanisms;COG0317 In eubacteria ppGpp (guanosine 3'-diphosphate 5-' diphosphate) is a mediator of the stringent response that coordinates a variety of cellular activities in response to changes in nutritional abundance (By similarity);
ERR793600.1206322	eggNOG;informationStorageAndProcessing;[K] Transcription;COG0317 In eubacteria ppGpp (guanosine 3'-diphosphate 5-' diphosphate) is a mediator of the stringent response that coordinates a variety of cellular activities in response to changes in nutritional abundance (By similarity);
ERR793600.1206322	eggNOG;cellularProcessesAndSignaling;[T] Signal transduction mechanisms;COG0317 In eubacteria ppGpp (guanosine 3'-diphosphate 5-' diphosphate) is a mediator of the stringent response that coordinates a variety of cellular activities in response to changes in nutritional abundance (By similarity);
ERR793600.977915	eggNOG;informationStorageAndProcessing;[K] Transcription;COG0317 In eubacteria ppGpp (guanosine 3'-diphosphate 5-' diphosphate) is a mediator of the stringent response that coordinates a variety of cellular activities in response to changes in nutritional abundance (By similarity);
ERR793600.977915	eggNOG;cellularProcessesAndSignaling;[T] Signal transduction mechanisms;COG0317 In eubacteria ppGpp (guanosine 3'-diphosphate 5-' diphosphate) is a mediator of the stringent response that coordinates a variety of cellular activities in response to changes in nutritional abundance (By similarity);
ERR793600.743176	eggNOG;metabolism;[I] Lipid transport and metabolism;COG0318 Amp-dependent synthetase and ligase;
ERR793600.743176	eggNOG;metabolism;[Q] Secondary metabolites biosynthesis, transport and catabolism;COG0318 Amp-dependent synthetase and ligase;
ERR793600.743176	eggNOG;metabolism;[I] Lipid transport and metabolism;COG0318 Amp-dependent synthetase and ligase;
ERR793600.743176	eggNOG;metabolism;[Q] Secondary metabolites biosynthesis, transport and catabolism;COG0318 Amp-dependent synthetase and ligase;
ERR793600.653009	eggNOG;metabolism;[I] Lipid transport and metabolism;COG0331 Malonyl coA-acyl carrier protein transacylase;
ERR793600.653009	eggNOG;metabolism;[I] Lipid transport and metabolism;COG0331 Malonyl coA-acyl carrier protein transacylase;
ERR793600.585696	eggNOG;informationStorageAndProcessing;[J] Translation, ribosomal structure and biogenesis;COG0335 This protein is located at the 30S-50S ribosomal subunit interface and may play a role in the structure and function of the aminoacyl-tRNA binding site (By similarity);
ERR793600.525122	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0346 glyoxalase bleomycin resistance protein dioxygenase;
ERR793600.342277	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0347 Nitrogen regulatory protein pii;
ERR793600.342277	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0347 Nitrogen regulatory protein pii;
ERR793600.669665	eggNOG;metabolism;[G] Carbohydrate transport and metabolism;COG0364 Glucose-6-phosphate 1-dehydrogenase;
ERR793600.766220	eggNOG;metabolism;[I] Lipid transport and metabolism;COG0365 Catalyzes the conversion of acetate into acetyl-CoA (AcCoA), an essential intermediate at the junction of anabolic and catabolic pathways. AcsA undergoes a two-step reaction. In the first half reaction, AcsA combines acetate with ATP to form acetyl-adenylate (AcAMP) intermediate. In the second half reaction, it can then transfer the acetyl group from AcAMP to the sulfhydryl group of CoA, forming the product AcCoA (By similarity);
ERR793600.1303484	eggNOG;metabolism;[C] Energy production and conversion;COG0372 citrate synthase;
ERR793600.126242	eggNOG;metabolism;[H] Coenzyme transport and metabolism;COG0373 Catalyzes the NADPH-dependent reduction of glutamyl- tRNA(Glu) to glutamate 1-semialdehyde (GSA) (By similarity);
ERR793600.126242	eggNOG;metabolism;[H] Coenzyme transport and metabolism;COG0373 Catalyzes the NADPH-dependent reduction of glutamyl- tRNA(Glu) to glutamate 1-semialdehyde (GSA) (By similarity);
ERR793600.1521650	eggNOG;metabolism;[P] Inorganic ion transport and metabolism;COG0376 Bifunctional enzyme with both catalase and broad- spectrum peroxidase activity (By similarity);
ERR793600.394215	eggNOG;metabolism;[H] Coenzyme transport and metabolism;COG0382 Synthesis of 3-octaprenyl-4-hydroxybenzoate (By similarity);
ERR793600.394215	eggNOG;metabolism;[H] Coenzyme transport and metabolism;COG0382 Synthesis of 3-octaprenyl-4-hydroxybenzoate (By similarity);
ERR793600.1223422	eggNOG;metabolism;[G] Carbohydrate transport and metabolism;COG0395 Binding-protein-dependent transport systems inner membrane component;
ERR793600.1223965	eggNOG;metabolism;[G] Carbohydrate transport and metabolism;COG0395 Binding-protein-dependent transport systems inner membrane component;
ERR793600.676431	eggNOG;metabolism;[G] Carbohydrate transport and metabolism;COG0406 Phosphoglycerate mutase;
ERR793600.676431	eggNOG;metabolism;[G] Carbohydrate transport and metabolism;COG0406 Phosphoglycerate mutase;
ERR793600.1027989	eggNOG;metabolism;[H] Coenzyme transport and metabolism;COG0407 Catalyzes the decarboxylation of four acetate groups of uroporphyrinogen-III to yield coproporphyrinogen-III (By similarity);
ERR793600.1027989	eggNOG;metabolism;[H] Coenzyme transport and metabolism;COG0407 Catalyzes the decarboxylation of four acetate groups of uroporphyrinogen-III to yield coproporphyrinogen-III (By similarity);
ERR793600.1028076	eggNOG;metabolism;[H] Coenzyme transport and metabolism;COG0407 Catalyzes the decarboxylation of four acetate groups of uroporphyrinogen-III to yield coproporphyrinogen-III (By similarity);
ERR793600.180753	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0410 amino acid transport;
ERR793600.1410157	eggNOG;metabolism;[Q] Secondary metabolites biosynthesis, transport and catabolism;COG0412 dienelactone hydrolase;
ERR793600.1474419	eggNOG;informationStorageAndProcessing;[L] Replication, recombination and repair;COG0417 DNA polymerase;
ERR793600.226925	eggNOG;cellularProcessesAndSignaling;[D] Cell cycle control, cell division, chromosome partitioning;COG0424 Maf-like protein;
ERR793600.226925	eggNOG;cellularProcessesAndSignaling;[D] Cell cycle control, cell division, chromosome partitioning;COG0424 Maf-like protein;
ERR793600.998879	eggNOG;informationStorageAndProcessing;[J] Translation, ribosomal structure and biogenesis;COG0442 Catalyzes the attachment of proline to tRNA(Pro) in a two-step reaction proline is first activated by ATP to form Pro- AMP and then transferred to the acceptor end of tRNA(Pro). As ProRS can inadvertently accommodate and process non-cognate amino acids such as alanine and cysteine, to avoid such errors it has two additional distinct editing activities against alanine. One activity is designated as 'pretransfer' editing and involves the tRNA(Pro)-independent hydrolysis of activated Ala-AMP. The other activity is designated 'posttransfer' editing and involves deacylation of mischarged Ala-tRNA(Pro). The misacylated Cys- tRNA(Pro) is not edited by ProRS (By similarity);
ERR793600.998879	eggNOG;informationStorageAndProcessing;[J] Translation, ribosomal structure and biogenesis;COG0442 Catalyzes the attachment of proline to tRNA(Pro) in a two-step reaction proline is first activated by ATP to form Pro- AMP and then transferred to the acceptor end of tRNA(Pro). As ProRS can inadvertently accommodate and process non-cognate amino acids such as alanine and cysteine, to avoid such errors it has two additional distinct editing activities against alanine. One activity is designated as 'pretransfer' editing and involves the tRNA(Pro)-independent hydrolysis of activated Ala-AMP. The other activity is designated 'posttransfer' editing and involves deacylation of mischarged Ala-tRNA(Pro). The misacylated Cys- tRNA(Pro) is not edited by ProRS (By similarity);
ERR793600.1402099	eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG0443 Heat shock protein;
ERR793600.1402099	eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG0443 Heat shock protein;
ERR793600.1402526	eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG0443 Heat shock protein;
ERR793600.1107394	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0444 (ABC) transporter;
ERR793600.1107394	eggNOG;metabolism;[P] Inorganic ion transport and metabolism;COG0444 (ABC) transporter;
ERR793600.1320225	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0444 (ABC) transporter;
ERR793600.1320225	eggNOG;metabolism;[P] Inorganic ion transport and metabolism;COG0444 (ABC) transporter;
ERR793600.1107394	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0444 (ABC) transporter;
ERR793600.1107394	eggNOG;metabolism;[P] Inorganic ion transport and metabolism;COG0444 (ABC) transporter;
ERR793600.1042254	eggNOG;cellularProcessesAndSignaling;[M] Cell wall/membrane/envelope biogenesis;COG0451 Nad-dependent epimerase dehydratase;
ERR793600.1170177	eggNOG;cellularProcessesAndSignaling;[M] Cell wall/membrane/envelope biogenesis;COG0451 Nad-dependent epimerase dehydratase;
ERR793600.1406774	eggNOG;cellularProcessesAndSignaling;[M] Cell wall/membrane/envelope biogenesis;COG0451 Nad-dependent epimerase dehydratase;
ERR793600.424508	eggNOG;informationStorageAndProcessing;[K] Transcription;COG0454 acetyltransferase;
ERR793600.735972	eggNOG;informationStorageAndProcessing;[K] Transcription;COG0454 acetyltransferase;
ERR793600.424508	eggNOG;informationStorageAndProcessing;[K] Transcription;COG0454 acetyltransferase;
ERR793600.1098070	eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG0459 Prevents misfolding and promotes the refolding and proper assembly of unfolded polypeptides generated under stress conditions (By similarity);
ERR793600.747793	eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG0464 Aaa atpase;
ERR793600.1180583	eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG0465 Acts as a processive, ATP-dependent zinc metallopeptidase for both cytoplasmic and membrane proteins. Plays a role in the quality control of integral membrane proteins (By similarity);
ERR793600.1412377	eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG0465 Acts as a processive, ATP-dependent zinc metallopeptidase for both cytoplasmic and membrane proteins. Plays a role in the quality control of integral membrane proteins (By similarity);
ERR793600.411040	eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG0466 ATP-dependent serine protease that mediates the selective degradation of mutant and abnormal proteins as well as certain short-lived regulatory proteins. Required for cellular homeostasis and for survival from DNA damage and developmental changes induced by stress. Degrades polypeptides processively to yield small peptide fragments that are 5 to 10 amino acids long. Binds to DNA in a double-stranded, site-specific manner (By similarity);
ERR793600.1438777	eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG0466 ATP-dependent serine protease that mediates the selective degradation of mutant and abnormal proteins as well as certain short-lived regulatory proteins. Required for cellular homeostasis and for survival from DNA damage and developmental changes induced by stress. Degrades polypeptides processively to yield small peptide fragments that are 5 to 10 amino acids long. Binds to DNA in a double-stranded, site-specific manner (By similarity);
ERR793600.79198	eggNOG;informationStorageAndProcessing;[L] Replication, recombination and repair;COG0468 Can catalyze the hydrolysis of ATP in the presence of single-stranded DNA, the ATP-dependent uptake of single-stranded DNA by duplex DNA, and the ATP-dependent hybridization of homologous single-stranded DNAs. It interacts with LexA causing its activation and leading to its autocatalytic cleavage (By similarity);
ERR793600.1061795	eggNOG;informationStorageAndProcessing;[L] Replication, recombination and repair;COG0468 Can catalyze the hydrolysis of ATP in the presence of single-stranded DNA, the ATP-dependent uptake of single-stranded DNA by duplex DNA, and the ATP-dependent hybridization of homologous single-stranded DNAs. It interacts with LexA causing its activation and leading to its autocatalytic cleavage (By similarity);
ERR793600.79198	eggNOG;informationStorageAndProcessing;[L] Replication, recombination and repair;COG0468 Can catalyze the hydrolysis of ATP in the presence of single-stranded DNA, the ATP-dependent uptake of single-stranded DNA by duplex DNA, and the ATP-dependent hybridization of homologous single-stranded DNAs. It interacts with LexA causing its activation and leading to its autocatalytic cleavage (By similarity);
ERR793600.1049947	eggNOG;metabolism;[P] Inorganic ion transport and metabolism;COG0471 Transporter;
ERR793600.1232035	eggNOG;metabolism;[P] Inorganic ion transport and metabolism;COG0471 Transporter;
ERR793600.1232035	eggNOG;metabolism;[P] Inorganic ion transport and metabolism;COG0471 Transporter;
ERR793600.1232074	eggNOG;metabolism;[P] Inorganic ion transport and metabolism;COG0471 Transporter;
ERR793600.411937	eggNOG;metabolism;[P] Inorganic ion transport and metabolism;COG0474 P-type atpase;
ERR793600.709815	eggNOG;metabolism;[P] Inorganic ion transport and metabolism;COG0474 P-type atpase;
ERR793600.709906	eggNOG;metabolism;[P] Inorganic ion transport and metabolism;COG0474 P-type atpase;
