ERR793599.177418	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0006 peptidase M24;
ERR793599.724731	eggNOG;metabolism;[F] Nucleotide transport and metabolism;COG0127 Pyrophosphatase that hydrolyzes non-canonical purine nucleotides such as XTP and ITP dITP to their respective monophosphate derivatives. Might exclude non-canonical purines from DNA precursor pool, thus preventing their incorporation into DNA and avoiding chromosomal lesions (By similarity);
ERR793599.37802	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0129 Dihydroxy-acid dehydratase;
ERR793599.441453	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0129 Dihydroxy-acid dehydratase;
ERR793599.37802	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0129 Dihydroxy-acid dehydratase;
ERR793599.441453	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0129 Dihydroxy-acid dehydratase;
ERR793599.345134	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0131 imidazoleglycerolphosphate dehydratase;
ERR793599.345134	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0131 imidazoleglycerolphosphate dehydratase;
ERR793599.179718	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0133 The beta subunit is responsible for the synthesis of L- tryptophan from indole and L-serine (By similarity);
ERR793599.179718	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0133 The beta subunit is responsible for the synthesis of L- tryptophan from indole and L-serine (By similarity);
ERR793599.84888	eggNOG;metabolism;[H] Coenzyme transport and metabolism;COG0142 synthase;
ERR793599.642061	eggNOG;informationStorageAndProcessing;[J] Translation, ribosomal structure and biogenesis;COG0143 Is required not only for elongation of protein synthesis but also for the initiation of all mRNA translation through initiator tRNA(fMet) aminoacylation (By similarity);
ERR793599.254113	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0147 synthase (Component I);
ERR793599.254113	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0147 synthase (Component I);
ERR793599.538351	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0147 synthase (Component I);
ERR793599.306693	eggNOG;metabolism;[F] Nucleotide transport and metabolism;COG0150 phosphoribosylaminoimidazole synthetase;
ERR793599.104399	eggNOG;metabolism;[G] Carbohydrate transport and metabolism;COG0153 Catalyzes the transfer of the gamma-phosphate of ATP to D-galactose to form alpha-D-galactose-1-phosphate (Gal-1-P) (By similarity);
ERR793599.422215	eggNOG;metabolism;[H] Coenzyme transport and metabolism;COG0157 nicotinate-nucleotide diphosphorylase (carboxylating) activity;
ERR793599.739147	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0160 transaminase activity;
ERR793599.731193	eggNOG;informationStorageAndProcessing;[J] Translation, ribosomal structure and biogenesis;COG0162 Catalyzes the attachment of tyrosine to tRNA(Tyr) in a two-step reaction tyrosine is first activated by ATP to form Tyr- AMP and then transferred to the acceptor end of tRNA(Tyr) (By similarity);
ERR793599.425777	eggNOG;metabolism;[P] Inorganic ion transport and metabolism;COG0168 Low-affinity potassium transport system. Interacts with Trk system potassium uptake protein TrkA (By similarity);
ERR793599.426510	eggNOG;metabolism;[P] Inorganic ion transport and metabolism;COG0168 Low-affinity potassium transport system. Interacts with Trk system potassium uptake protein TrkA (By similarity);
ERR793599.425777	eggNOG;metabolism;[P] Inorganic ion transport and metabolism;COG0168 Low-affinity potassium transport system. Interacts with Trk system potassium uptake protein TrkA (By similarity);
ERR793599.268487	eggNOG;informationStorageAndProcessing;[J] Translation, ribosomal structure and biogenesis;COG0173 aspartyl-trna synthetase;
ERR793599.268487	eggNOG;informationStorageAndProcessing;[J] Translation, ribosomal structure and biogenesis;COG0173 aspartyl-trna synthetase;
ERR793599.317876	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0174 glutamine synthetase;
ERR793599.317876	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0174 glutamine synthetase;
ERR793599.119993	eggNOG;metabolism;[P] Inorganic ion transport and metabolism;COG0175 Reduction of activated sulfate into sulfite (By similarity);
ERR793599.119993	eggNOG;metabolism;[P] Inorganic ion transport and metabolism;COG0175 Reduction of activated sulfate into sulfite (By similarity);
ERR793599.230571	eggNOG;metabolism;[G] Carbohydrate transport and metabolism;COG0176 Transaldolase is important for the balance of metabolites in the pentose-phosphate pathway (By similarity);
ERR793599.8936	eggNOG;informationStorageAndProcessing;[L] Replication, recombination and repair;COG0178 The UvrABC repair system catalyzes the recognition and processing of DNA lesions. UvrA is an ATPase and a DNA-binding protein. A damage recognition complex composed of 2 UvrA and 2 UvrB subunits scans DNA for abnormalities. When the presence of a lesion has been verified by UvrB, the UvrA molecules dissociate (By similarity);
ERR793599.8936	eggNOG;informationStorageAndProcessing;[L] Replication, recombination and repair;COG0178 The UvrABC repair system catalyzes the recognition and processing of DNA lesions. UvrA is an ATPase and a DNA-binding protein. A damage recognition complex composed of 2 UvrA and 2 UvrB subunits scans DNA for abnormalities. When the presence of a lesion has been verified by UvrB, the UvrA molecules dissociate (By similarity);
ERR793599.441617	eggNOG;informationStorageAndProcessing;[L] Replication, recombination and repair;COG0178 The UvrABC repair system catalyzes the recognition and processing of DNA lesions. UvrA is an ATPase and a DNA-binding protein. A damage recognition complex composed of 2 UvrA and 2 UvrB subunits scans DNA for abnormalities. When the presence of a lesion has been verified by UvrB, the UvrA molecules dissociate (By similarity);
ERR793599.40771	eggNOG;metabolism;[Q] Secondary metabolites biosynthesis, transport and catabolism;COG0179 Fumarylacetoacetate hydrolase;
ERR793599.299456	eggNOG;metabolism;[Q] Secondary metabolites biosynthesis, transport and catabolism;COG0179 Fumarylacetoacetate hydrolase;
ERR793599.40771	eggNOG;metabolism;[Q] Secondary metabolites biosynthesis, transport and catabolism;COG0179 Fumarylacetoacetate hydrolase;
ERR793599.285965	eggNOG;metabolism;[Q] Secondary metabolites biosynthesis, transport and catabolism;COG0179 Fumarylacetoacetate hydrolase;
ERR793599.282703	eggNOG;informationStorageAndProcessing;[L] Replication, recombination and repair;COG0187 DNA gyrase negatively supercoils closed circular double- stranded DNA in an ATP-dependent manner and also catalyzes the interconversion of other topological isomers of double-stranded DNA rings, including catenanes and knotted rings (By similarity);
ERR793599.420338	eggNOG;informationStorageAndProcessing;[L] Replication, recombination and repair;COG0187 DNA gyrase negatively supercoils closed circular double- stranded DNA in an ATP-dependent manner and also catalyzes the interconversion of other topological isomers of double-stranded DNA rings, including catenanes and knotted rings (By similarity);
ERR793599.409792	eggNOG;informationStorageAndProcessing;[L] Replication, recombination and repair;COG0188 DNA gyrase negatively supercoils closed circular double- stranded DNA in an ATP-dependent manner and also catalyzes the interconversion of other topological isomers of double-stranded DNA rings, including catenanes and knotted rings (By similarity);
ERR793599.550992	eggNOG;informationStorageAndProcessing;[L] Replication, recombination and repair;COG0188 DNA gyrase negatively supercoils closed circular double- stranded DNA in an ATP-dependent manner and also catalyzes the interconversion of other topological isomers of double-stranded DNA rings, including catenanes and knotted rings (By similarity);
ERR793599.685947	eggNOG;metabolism;[F] Nucleotide transport and metabolism;COG0194 Essential for recycling GMP and indirectly, cGMP (By similarity);
ERR793599.773838	eggNOG;informationStorageAndProcessing;[J] Translation, ribosomal structure and biogenesis;COG0197 Binds 23S rRNA and is also seen to make contacts with the A and possibly P site tRNAs (By similarity);
ERR793599.538115	eggNOG;informationStorageAndProcessing;[K] Transcription;COG0202 DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates (By similarity);
ERR793599.538115	eggNOG;informationStorageAndProcessing;[K] Transcription;COG0202 DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates (By similarity);
ERR793599.240956	eggNOG;metabolism;[I] Lipid transport and metabolism;COG0204 Acyltransferase;
ERR793599.318089	eggNOG;metabolism;[I] Lipid transport and metabolism;COG0204 Acyltransferase;
ERR793599.145613	eggNOG;metabolism;[G] Carbohydrate transport and metabolism;COG0205 phosphohexokinase;
ERR793599.318101	eggNOG;metabolism;[F] Nucleotide transport and metabolism;COG0207 Provides the sole de novo source of dTMP for DNA biosynthesis (By similarity);
ERR793599.318101	eggNOG;metabolism;[F] Nucleotide transport and metabolism;COG0207 Provides the sole de novo source of dTMP for DNA biosynthesis (By similarity);
ERR793599.46400	eggNOG;metabolism;[F] Nucleotide transport and metabolism;COG0209 Provides the precursors necessary for DNA synthesis. Catalyzes the biosynthesis of deoxyribonucleotides from the corresponding ribonucleotides (By similarity);
ERR793599.46400	eggNOG;metabolism;[F] Nucleotide transport and metabolism;COG0209 Provides the precursors necessary for DNA synthesis. Catalyzes the biosynthesis of deoxyribonucleotides from the corresponding ribonucleotides (By similarity);
ERR793599.46889	eggNOG;metabolism;[F] Nucleotide transport and metabolism;COG0209 Provides the precursors necessary for DNA synthesis. Catalyzes the biosynthesis of deoxyribonucleotides from the corresponding ribonucleotides (By similarity);
ERR793599.757775	eggNOG;informationStorageAndProcessing;[L] Replication, recombination and repair;COG0210 helicase;
ERR793599.757775	eggNOG;informationStorageAndProcessing;[L] Replication, recombination and repair;COG0210 helicase;
ERR793599.676254	eggNOG;metabolism;[C] Energy production and conversion;COG0221 Pyrophosphate phospho-hydrolase;
ERR793599.676254	eggNOG;metabolism;[C] Energy production and conversion;COG0221 Pyrophosphate phospho-hydrolase;
ERR793599.375191	eggNOG;metabolism;[C] Energy production and conversion;COG0224 Produces ATP from ADP in the presence of a proton gradient across the membrane. The gamma chain is believed to be important in regulating ATPase activity and the flow of protons through the CF(0) complex (By similarity);
ERR793599.783745	eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG0225 Has an important function as a repair enzyme for proteins that have been inactivated by oxidation. Catalyzes the reversible oxidation-reduction of methionine sulfoxide in proteins to methionine (By similarity);
ERR793599.783745	eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG0225 Has an important function as a repair enzyme for proteins that have been inactivated by oxidation. Catalyzes the reversible oxidation-reduction of methionine sulfoxide in proteins to methionine (By similarity);
ERR793599.667221	eggNOG;metabolism;[G] Carbohydrate transport and metabolism;COG0235 Class II aldolase adducin;
ERR793599.313599	eggNOG;metabolism;[I] Lipid transport and metabolism;COG0236 Carrier of the growing fatty acid chain in fatty acid biosynthesis (By similarity);
ERR793599.467495	eggNOG;metabolism;[F] Nucleotide transport and metabolism;COG0248 ppx gppa phosphatase;
ERR793599.467495	eggNOG;metabolism;[P] Inorganic ion transport and metabolism;COG0248 ppx gppa phosphatase;
ERR793599.29134	eggNOG;informationStorageAndProcessing;[L] Replication, recombination and repair;COG0249 that it carries out the mismatch recognition step. This protein has a weak ATPase activity (By similarity);
ERR793599.339452	eggNOG;informationStorageAndProcessing;[L] Replication, recombination and repair;COG0249 that it carries out the mismatch recognition step. This protein has a weak ATPase activity (By similarity);
ERR793599.29134	eggNOG;informationStorageAndProcessing;[L] Replication, recombination and repair;COG0249 that it carries out the mismatch recognition step. This protein has a weak ATPase activity (By similarity);
ERR793599.74762	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0253 Catalyzes the stereoinversion of LL-2,6- diaminoheptanedioate (L,L-DAP) to meso-diaminoheptanedioate (meso- DAP), a precursor of L-lysine and an essential component of the bacterial peptidoglycan (By similarity);
ERR793599.74762	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0253 Catalyzes the stereoinversion of LL-2,6- diaminoheptanedioate (L,L-DAP) to meso-diaminoheptanedioate (meso- DAP), a precursor of L-lysine and an essential component of the bacterial peptidoglycan (By similarity);
ERR793599.331375	eggNOG;informationStorageAndProcessing;[J] Translation, ribosomal structure and biogenesis;COG0256 This is one of the proteins that binds and probably mediates the attachment of the 5S RNA into the large ribosomal subunit, where it forms part of the central protuberance (By similarity);
ERR793599.665991	eggNOG;informationStorageAndProcessing;[J] Translation, ribosomal structure and biogenesis;COG0264 Associates with the EF-Tu.GDP complex and induces the exchange of GDP to GTP. It remains bound to the aminoacyl-tRNA.EF- Tu.GTP complex up to the GTP hydrolysis stage on the ribosome (By similarity);
ERR793599.666354	eggNOG;informationStorageAndProcessing;[J] Translation, ribosomal structure and biogenesis;COG0264 Associates with the EF-Tu.GDP complex and induces the exchange of GDP to GTP. It remains bound to the aminoacyl-tRNA.EF- Tu.GTP complex up to the GTP hydrolysis stage on the ribosome (By similarity);
ERR793599.310936	eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG0265 Serine protease;
ERR793599.310936	eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG0265 Serine protease;
ERR793599.598918	eggNOG;cellularProcessesAndSignaling;[T] Signal transduction mechanisms;COG0271 Bola-like protein;
ERR793599.37861	eggNOG;metabolism;[C] Energy production and conversion;COG0277 FAD linked oxidase domain protein;
ERR793599.37861	eggNOG;metabolism;[C] Energy production and conversion;COG0277 FAD linked oxidase domain protein;
ERR793599.417052	eggNOG;metabolism;[C] Energy production and conversion;COG0277 FAD linked oxidase domain protein;
ERR793599.166233	eggNOG;informationStorageAndProcessing;[J] Translation, ribosomal structure and biogenesis;COG0290 IF-3 binds to the 30S ribosomal subunit and shifts the equilibrum between 70S ribosomes and their 50S and 30S subunits in favor of the free subunits, thus enhancing the availability of 30S subunits on which protein synthesis initiation begins (By similarity);
ERR793599.166233	eggNOG;informationStorageAndProcessing;[J] Translation, ribosomal structure and biogenesis;COG0291 50s ribosomal protein L35;
ERR793599.30764	eggNOG;metabolism;[F] Nucleotide transport and metabolism;COG0299 phosphoribosylglycinamide formyltransferase;
ERR793599.67288	eggNOG;informationStorageAndProcessing;[L] Replication, recombination and repair;COG0305 Replicative dna helicase;
ERR793599.467448	eggNOG;metabolism;[H] Coenzyme transport and metabolism;COG0307 riboflavin synthase, subunit alpha;
ERR793599.507882	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0308 aminopeptidase;
ERR793599.289346	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0308 aminopeptidase;
ERR793599.71206	eggNOG;informationStorageAndProcessing;[K] Transcription;COG0317 In eubacteria ppGpp (guanosine 3'-diphosphate 5-' diphosphate) is a mediator of the stringent response that coordinates a variety of cellular activities in response to changes in nutritional abundance (By similarity);
ERR793599.71206	eggNOG;cellularProcessesAndSignaling;[T] Signal transduction mechanisms;COG0317 In eubacteria ppGpp (guanosine 3'-diphosphate 5-' diphosphate) is a mediator of the stringent response that coordinates a variety of cellular activities in response to changes in nutritional abundance (By similarity);
ERR793599.95538	eggNOG;informationStorageAndProcessing;[K] Transcription;COG0317 In eubacteria ppGpp (guanosine 3'-diphosphate 5-' diphosphate) is a mediator of the stringent response that coordinates a variety of cellular activities in response to changes in nutritional abundance (By similarity);
ERR793599.95538	eggNOG;cellularProcessesAndSignaling;[T] Signal transduction mechanisms;COG0317 In eubacteria ppGpp (guanosine 3'-diphosphate 5-' diphosphate) is a mediator of the stringent response that coordinates a variety of cellular activities in response to changes in nutritional abundance (By similarity);
ERR793599.71206	eggNOG;informationStorageAndProcessing;[K] Transcription;COG0317 In eubacteria ppGpp (guanosine 3'-diphosphate 5-' diphosphate) is a mediator of the stringent response that coordinates a variety of cellular activities in response to changes in nutritional abundance (By similarity);
ERR793599.71206	eggNOG;cellularProcessesAndSignaling;[T] Signal transduction mechanisms;COG0317 In eubacteria ppGpp (guanosine 3'-diphosphate 5-' diphosphate) is a mediator of the stringent response that coordinates a variety of cellular activities in response to changes in nutritional abundance (By similarity);
ERR793599.208157	eggNOG;metabolism;[I] Lipid transport and metabolism;COG0318 Amp-dependent synthetase and ligase;
ERR793599.208157	eggNOG;metabolism;[Q] Secondary metabolites biosynthesis, transport and catabolism;COG0318 Amp-dependent synthetase and ligase;
ERR793599.236579	eggNOG;metabolism;[I] Lipid transport and metabolism;COG0318 Amp-dependent synthetase and ligase;
ERR793599.236579	eggNOG;metabolism;[Q] Secondary metabolites biosynthesis, transport and catabolism;COG0318 Amp-dependent synthetase and ligase;
ERR793599.417282	eggNOG;metabolism;[I] Lipid transport and metabolism;COG0318 Amp-dependent synthetase and ligase;
ERR793599.417282	eggNOG;metabolism;[Q] Secondary metabolites biosynthesis, transport and catabolism;COG0318 Amp-dependent synthetase and ligase;
ERR793599.428645	eggNOG;metabolism;[H] Coenzyme transport and metabolism;COG0321 Catalyzes the transfer of endogenously produced octanoic acid from octanoyl-acyl-carrier-protein onto the lipoyl domains of lipoate-dependent enzymes. Lipoyl-ACP can also act as a substrate although octanoyl-ACP is likely to be the physiological substrate (By similarity);
ERR793599.428645	eggNOG;metabolism;[H] Coenzyme transport and metabolism;COG0321 Catalyzes the transfer of endogenously produced octanoic acid from octanoyl-acyl-carrier-protein onto the lipoyl domains of lipoate-dependent enzymes. Lipoyl-ACP can also act as a substrate although octanoyl-ACP is likely to be the physiological substrate (By similarity);
ERR793599.428646	eggNOG;metabolism;[H] Coenzyme transport and metabolism;COG0321 Catalyzes the transfer of endogenously produced octanoic acid from octanoyl-acyl-carrier-protein onto the lipoyl domains of lipoate-dependent enzymes. Lipoyl-ACP can also act as a substrate although octanoyl-ACP is likely to be the physiological substrate (By similarity);
ERR793599.434736	eggNOG;informationStorageAndProcessing;[L] Replication, recombination and repair;COG0322 The UvrABC repair system catalyzes the recognition and processing of DNA lesions. UvrC both incises the 5' and 3' sides of the lesion. The N-terminal half is responsible for the 3' incision and the C-terminal half is responsible for the 5' incision (By similarity);
ERR793599.434736	eggNOG;informationStorageAndProcessing;[L] Replication, recombination and repair;COG0322 The UvrABC repair system catalyzes the recognition and processing of DNA lesions. UvrC both incises the 5' and 3' sides of the lesion. The N-terminal half is responsible for the 3' incision and the C-terminal half is responsible for the 5' incision (By similarity);
